company_name,phone,city,company_type,status,active_date,age,score
"VĂN PHÒNG ĐẠI DIỆN - CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT, THƯƠNG MẠI, XUẤT NHẬP KHẨU VÀ DỊCH VỤ QUỐC VINH",0983268082,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-04-13,2.9287671232876713,110
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM  ART H3,0904304399,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-04-22,1.9013698630136986,110
CÔNG TY CỔ PHẦN HAN WAY,0916856786,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-10-24,1.3945205479452054,110
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI SSD,0335547272,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-03-28,1.9698630136986301,110
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN XÂY DỰNG VN GROUP,0972418689,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-08-16,1.5835616438356164,110
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG 168 VIỆT NAM,02436373359,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-01-17,2.164383561643836,110
CÔNG TY CỔ PHẦN TẬP ĐOÀN LỮ HÀNH QUỐC TẾ RHK,0904868683,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-12-30,1.210958904109589,110
CÔNG TY CP ĐẦU TƯ XÂY DỰNG CƠ ĐIỆN VINH PHÁT,0988791203,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-05-08,0.8575342465753425,110
CÔNG TY CỔ PHẦN TẬP ĐOÀN DCO MEDIA,0704511116,HCM,Công ty cổ phần ngoài NN,đang hoạt động,2022-06-27,3.723287671232877,110
CÔNG TY CỔ PHẦN DỆT MAY TOÀN CẦU,0983932392,HCM,Công ty cổ phần ngoài NN,đang hoạt động,2021-05-31,4.7972602739726025,110
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XÂY DỰNG CƯỜNG KHOA,0988404372,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-04-01,1.9589041095890412,110
CÔNG TY CỔ PHẦN THƯƠNG MẠI HOA MAI GROUP,0862096862,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-05-27,0.8054794520547945,110
CÔNG TY CỔ PHẦN CURATE IT,0368181971,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-04-28,0.8849315068493151,110
CÔNG TY CỔ PHẦN HỌC VIỆN NHÂN HOÀ VIỆT NAM,0337778068,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-11-17,4.331506849315068,110
CÔNG TY CỔ PHẦN GIÁO DỤC FINAI,0968852133,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-04-25,0.8931506849315068,110
CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ CÔNG NGHỆ ANBISCO,02433521418,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2022-10-10,3.4356164383561643,110
CÔNG TY CỔ PHẦN CÔNG NGHỆ SUBCRITICAL,0989848709,HCM,Công ty cổ phần ngoài NN,đang hoạt động,2025-05-26,0.8082191780821918,110
CÔNG TY CỔ PHẦN VARETO,0989193969,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-06-28,2.7205479452054795,110
CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI KHU NAM HÀ NỘI,0984226226,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2022-08-18,3.580821917808219,110
CÔNG TY CỔ PHẦN KHAI KHOÁNG DHT,0798808688,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-05-16,0.8356164383561644,110
VĂN PHÒNG ĐẠI DIỆN - CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG HAI A TẠI HÀ NỘI,0963011364,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-11-15,1.3342465753424657,110
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TIẾP VẬN QUỐC TẾ THUẬN PHONG TẠI HÀ NỘI,02835355023,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-04-17,0.915068493150685,110
CÔNG TY CỔ PHẦN ITS NEXTECH,0867831368,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-04-17,0.915068493150685,110
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CVC,0934422450093663135,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-06-05,2.7835616438356166,110
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN BẤT ĐỘNG SẢN ÂU LẠC,0374538128,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-04-28,0.8849315068493151,110
CÔNG TY CỔ PHẦN BẢN ĐỒ TÀI CHÍNH VIỆT NAM,0989881258,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-10-01,4.46027397260274,110
CÔNG TY CỔ PHẦN HÓA SINH ALPHA,02466646232,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-09-16,4.501369863013698,110
CÔNG TY CỔ PHẦN TƯ VẤN KỸ THUẬT VÀ XÂY DỰNG TECHCONS,0932323086,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-08-30,4.5479452054794525,110
CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ CÔNG NGHỆ TÂM AN,0904907909,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-07-26,4.6438356164383565,110
CÔNG TY CỔ PHẦN VẠN XUÂN CARE,0967472668,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-07-05,4.701369863013698,110
CÔNG TY CỔ PHẦN NGHIÊN CỨU GIẢI PHÁP VÀ PHÁT TRIỂN CÔNG NGHỆ XANH,0983299529,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-09-19,1.4904109589041097,110
CÔNG TY CỔ PHẦN SẢN XUẤT 3H VIỆT NAM,0977605605,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-04-22,4.904109589041096,110
CHI NHÁNH - CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ QUỐC TẾ UNC,0967781856,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-05-18,2.8328767123287673,110
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ WINT GROUP- CHI NHÁNH SỐ 1,0967626528,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-04-07,2.9452054794520546,110
CÔNG TY CỔ PHẦN THƯƠNG MAI DỊCH VỤ HIXUA,02368886666,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-10-16,2.419178082191781,110
CÔNG TY CỔ PHẦN DỊCH VỤ VÀ ĐẦU TƯ GIA LỘC AN,0906236826,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-08-29,2.5506849315068494,110
CÔNG TY CỔ PHẦN TẬP ĐOÀN PHÚC BÌNH,0836737788,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2021-12-29,4.2164383561643834,110
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CP TƯ VẤN & XÂY DỰNG ACLT,09835886680915,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2022-03-03,4.041095890410959,110
CÔNG TY CỔ PHẦN SƠN VIỆT ĐỨC GROUP,0377863863,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-06-16,2.7534246575342465,110
VĂN PHÒNG ĐẠI DIỆN - CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG TRÌNH THĂNG LONG TẠI HÀ NỘI,0906999666,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-11-28,2.3013698630136985,110
VĂN PHÒNG ĐẠI DIỆN TẠI HÀ NỘI- CÔNG TY CỔ PHẦN SẢN XUẤT VÀ XUẤT NHẬP KHẨU BAO BÌ THĂNG LONG,02437170886,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-04-06,2.947945205479452,110
CÔNG TY CỔ PHẦN TẬP ĐOÀN SANGA,02473039999,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2025-04-09,0.936986301369863,110
CÔNG TY CỔ PHẦN CÔNG NGHỆ DATA 360,0854545688,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-06-24,1.7287671232876711,110
CÔNG TY CỔ PHẦN THƯƠNG MẠI HTS,0359756665,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-10-25,2.3945205479452056,110
CÔNG TY CỔ PHẦN KINH DOANH XNK VIỆT NHẬT,02466850389,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-06-24,1.7287671232876711,110
CÔNG TY CỔ PHẦN SOUTH STAR,0978293555,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-05-16,1.8356164383561644,110
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ 4 MÙA,0934562579,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2024-05-16,1.8356164383561644,110
CÔNG TY CỔ PHẦN SỮA QUỐC TẾ NUTREN PLUS,0902124298,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2022-03-22,3.989041095890411,110
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ MINH NGỌC,0934479636,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2022-01-20,4.156164383561644,110
CHI NHÁNH CÔNG TY CP O PLANT - BASED FOOD,0972930001,HCM,Công ty cổ phần ngoài NN,đang hoạt động,2025-05-05,0.8657534246575342,110
CÔNG TY CỔ PHẦN PHÁT TRIỂN Y TẾ HC,0977244093,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2022-07-25,3.6465753424657534,110
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU DƯỢC MỸ PHẨM PHÚC QUANG,0355258238,Hà Nội,Công ty cổ phần ngoài NN,đang hoạt động,2023-11-30,2.2958904109589042,110
